Ticker,Change,Text,Date
A,Maintains,Jefferies: Buy,8/18/2021
A,Maintains,Baird: Outperform,8/18/2021
A,Maintains,Stifel: Hold,8/18/2021
A,Maintains,B of A Securities: Buy to Buy,8/18/2021
A,Maintains,Citigroup: Buy,8/18/2021
A,Maintains,Wells Fargo: Overweight,8/18/2021
A,Maintains,SVB Leerink: Outperform,8/18/2021
A,Maintains,Keybanc: Overweight,8/18/2021
A,Maintains,Keybanc: Overweight,7/12/2021
A,Maintains,TD Cowen: Outperform,7/1/2021
A,Maintains,JP Morgan: Overweight,5/26/2021
A,Maintains,Jefferies: Buy,5/26/2021
A,Maintains,UBS: Buy,5/26/2021
A,Maintains,Citigroup: Buy,5/26/2021
A,Maintains,Baird: Outperform,5/26/2021
A,Maintains,Wells Fargo: Overweight,5/26/2021
A,Maintains,Stifel: Hold to Hold,5/26/2021
A,Maintains,SVB Leerink: Outperform,5/26/2021
A,Maintains,Keybanc: Overweight,5/26/2021
A,Upgrade,Citigroup: Neutral to Buy,3/18/2021
A,Maintains,Baird: Outperform,2/17/2021
A,Maintains,Wells Fargo: Overweight,2/17/2021
A,Maintains,Keybanc: Overweight,2/17/2021
A,Maintains,Cowen & Co.: Outperform,2/17/2021
A,Maintains,Citigroup: Neutral,2/17/2021
A,Upgrade,B of A Securities: Neutral to Buy,2/17/2021
A,Maintains,SVB Leerink: Outperform,2/17/2021
A,Maintains,Stifel: Hold to Hold,12/10/2020
A,Maintains,Citigroup: Neutral to Neutral,12/10/2020
A,Maintains,SVB Leerink: Outperform,12/10/2020
A,Initiated,Goldman Sachs: Buy,12/2/2020
A,Upgrade,UBS: Neutral to Buy,11/25/2020
A,Maintains,Baird: Outperform,11/24/2020
A,Maintains,Jefferies: Buy,11/24/2020
A,Maintains,JP Morgan: Overweight,11/24/2020
A,Maintains,Stifel: Hold to Hold,11/24/2020
A,Maintains,Citigroup: Neutral to Neutral,11/24/2020
A,Maintains,SVB Leerink: Outperform,11/24/2020
A,Upgrade,Cleveland Research: Neutral to Buy,11/17/2020
A,Initiated,Keybanc: Overweight,11/10/2020
A,Initiated,Atlantic Equities: Underweight,9/30/2020
A,Maintains,Jefferies: Buy,8/19/2020
A,Maintains,Wells Fargo: Overweight,8/19/2020
A,Maintains,Baird: Outperform,8/19/2020
A,Maintains,Stifel: Hold to Hold,8/19/2020
A,Maintains,SVB Leerink: Outperform to Outperform,8/19/2020
A,Maintains,B of A Securities: Neutral to Neutral,8/19/2020
A,Maintains,Citigroup: Neutral,8/19/2020
A,Maintains,B of A Securities: Neutral,7/20/2020
A,Maintains,Wells Fargo: Overweight,6/16/2020
A,Maintains,Wolfe Research: Peer Perform,6/3/2020
A,Maintains,UBS: Neutral,5/25/2020
A,Maintains,Jefferies: Neutral,5/22/2020
A,Maintains,Citigroup: Neutral,5/22/2020
A,Maintains,TD Cowen: Outperform,5/22/2020
A,Maintains,Baird: Outperform,5/22/2020
A,Maintains,B of A Securities: Neutral,5/22/2020
A,Maintains,CFRA: Hold,5/22/2020
A,Maintains,UBS: Neutral,5/22/2020
A,Maintains,Wells Fargo: Overweight,5/22/2020
A,Maintains,SVB Leerink: Outperform,5/22/2020
A,Maintains,UBS: Neutral,4/28/2020
A,Maintains,Baird: Outperform,4/21/2020
A,Maintains,Stifel: Hold,4/2/2020
A,Maintains,Wells Fargo: Overweight,3/30/2020
A,Maintains,Barclays: Equal-Weight,3/26/2020
A,Maintains,Citigroup: Neutral,3/20/2020
A,Downgrade,Needham: Buy to Hold,2/24/2020
A,Maintains,Wolfe Research: Peer Perform,2/19/2020
A,Maintains,SVB Leerink: Outperform,2/19/2020
A,Maintains,UBS: Neutral,2/19/2020
A,Initiated,Wells Fargo: Overweight,1/8/2020
A,Initiated,Citigroup: Neutral,1/7/2020
A,Maintains,TD Cowen: Outperform,1/6/2020
A,Maintains,UBS: Neutral,11/26/2019
A,Initiated,Stifel: Hold,11/15/2019
A,Downgrade,UBS: Buy to Neutral,10/18/2019
A,Maintains,Barclays: Equal-Weight,10/9/2019
A,Downgrade,B of A Securities: Buy to Neutral,7/16/2019
A,Downgrade,Barclays: Overweight to Equal-Weight,7/15/2019
A,Initiated,Piper Sandler: Overweight,6/11/2019
A,Maintains,B of A Securities: Buy,5/15/2019
A,Maintains,Deutsche Bank: Buy,5/15/2019
A,Maintains,Barclays: Overweight,5/15/2019
A,Maintains,Cowen & Co.: Outperform to Outperform,3/26/2019
A,Initiated,UBS: Buy,3/15/2019
A,Maintains,Barclays: Overweight to Overweight,2/21/2019
A,Maintains,Deutsche Bank: Buy to Buy,2/12/2019
A,Initiated,Needham: Buy,1/3/2019
A,Maintains,Morgan Stanley: Overweight to Overweight,11/20/2018
A,Maintains,Morgan Stanley: Overweight to Overweight,10/10/2018
A,Maintains,Deutsche Bank: Buy to Buy,8/15/2018
A,Maintains,Morgan Stanley: Overweight to Overweight,8/15/2018
A,Upgrade,Cowen & Co.: Market Perform to Outperform,5/15/2018
A,Maintains,Morgan Stanley: Overweight to Overweight,4/11/2018
A,Maintains,JP Morgan: Overweight to Overweight,2/15/2018
A,Initiated,Evercore ISI Group: Outperform,1/4/2018
A,Maintains,Morgan Stanley: Overweight,11/14/2017
A,Maintains,B of A Securities: Buy,10/9/2017
A,Maintains,Morgan Stanley: Overweight,10/6/2017
A,Maintains,Baird: Outperform,9/18/2017
A,Maintains,Deutsche Bank: Hold,8/23/2017
A,Maintains,Morgan Stanley: Overweight,8/16/2017
A,Maintains,B of A Securities: Equal-Weight,8/16/2017
A,Maintains,Jefferies: Buy,8/16/2017
A,Upgrade,Wells Fargo: Market Perform to Outperform,7/13/2017
A,Maintains,Morgan Stanley: Overweight,7/10/2017
A,Upgrade,Morgan Stanley: Equal-Weight to Overweight,3/15/2017
A,Upgrade,Barclays: Equal-Weight to Overweight,1/4/2017
A,Maintains,Baird: Outperform,8/18/2016
A,Maintains,BTIG: Buy,8/18/2016
A,Maintains,Cowen & Co.: Outperform,8/18/2016
A,Maintains,Evercore ISI Group: Buy,8/18/2016
A,Maintains,Goldman Sachs: Buy,8/18/2016
A,Maintains,Cowen & Co.: Outperform,5/26/2016
A,Maintains,Goldman Sachs: Buy,5/11/2016
A,Maintains,Deutsche Bank: Hold,2/17/2016
A,Maintains,Barclays: Equal-Weight,2/17/2016
A,Maintains,Baird: Outperform,2/17/2016
A,Maintains,B of A Securities: Equal-Weight,2/17/2016
A,Upgrade,Cowen & Co.: Market Perform to Outperform,1/7/2016
A,Initiated,Deutsche Bank: Hold,1/6/2016
A,Upgrade,Baird: Neutral to Outperform,12/9/2015
A,Upgrade,Goldman Sachs: Neutral to Buy,12/8/2015
A,Maintains,Barclays: Equal-Weight,11/17/2015
A,Maintains,Jefferies: Buy,5/29/2015
A,Maintains,Baird: Neutral,5/19/2015
A,Initiated,UBS: Neutral,3/10/2015
A,Upgrade,BTIG: Neutral to Buy,2/25/2015
A,Maintains,Citigroup: Neutral,1/7/2015
A,Maintains,JP Morgan: Overweight,11/18/2014
A,Maintains,Citigroup: Neutral,11/4/2014
A,Maintains,Morgan Stanley: Equal-Weight,10/29/2014
A,Maintains,B of A Securities: Buy,10/20/2014
A,Maintains,Morgan Stanley: Equal-Weight,10/14/2014
A,Initiated,BTIG: Neutral,10/3/2014
A,Initiated,Morgan Stanley: Equal-Weight,9/8/2014
A,Maintains,B of A Securities: Buy,5/15/2014
A,Maintains,Jefferies: Buy,5/13/2014
A,Maintains,JP Morgan: Overweight,2/18/2014
A,Maintains,Morgan Stanley: Overweight,1/6/2014
A,Maintains,B of A Securities: Buy,12/12/2013
A,Maintains,Citigroup: Buy,11/15/2013
A,Downgrade,Stifel: Buy to Hold,10/1/2013
A,Maintains,Barclays: Overweight,9/20/2013
A,Maintains,Morgan Stanley: Overweight,9/20/2013
A,Upgrade,ISI Group: Buy to Strong Buy,9/19/2013
A,Maintains,Stifel: Buy,8/15/2013
A,Maintains,Longbow Research: Buy,8/15/2013
A,Maintains,Barclays: Overweight,8/15/2013
A,Maintains,Citigroup: Buy,8/15/2013
A,Initiated,Janney Montgomery Scott: Neutral,8/15/2013
A,Maintains,Jefferies: Buy,8/15/2013
A,Downgrade,Goldman Sachs: Buy to Neutral,6/25/2013
A,Maintains,Stifel: Buy,5/15/2013
A,Maintains,ISI Group: Buy,5/15/2013
A,Maintains,B of A Securities: Buy,3/8/2013
A,Initiated,Leerink Swann: Outperform,3/6/2013
A,Initiated,Credit Suisse: Outperform,3/5/2013
A,Maintains,Barclays: Overweight,2/15/2013
A,Maintains,UBS: Buy,2/15/2013
A,Downgrade,S&P Capital IQ: Hold to Sell,2/15/2013
A,Maintains,JP Morgan: Overweight,2/15/2013
A,Maintains,UBS: Buy,2/12/2013
A,Downgrade,CLSA: Buy to Outperform,1/17/2013
A,Maintains,Barclays: Overweight,11/20/2012
A,Maintains,Stifel: Buy,11/20/2012
A,Maintains,Jefferies: Buy,11/20/2012
A,Upgrade,Goldman Sachs: Neutral to Buy,11/19/2012
A,Maintains,Citigroup: Buy,10/16/2012
A,Maintains,Barclays: Overweight,8/16/2012
A,Maintains,UBS: Buy,8/16/2012
A,Maintains,Citigroup: Buy,8/16/2012
A,Maintains,JP Morgan: Overweight,8/16/2012
A,Maintains,Jefferies: Buy,8/16/2012
A,Maintains,Morgan Stanley: Overweight,8/16/2012
A,Maintains,ISI Group: Overweight,8/16/2012
A,Maintains,Jefferies: Buy,8/13/2012
A,Maintains,Citigroup: Buy,7/23/2012
A,Initiated,ISI Group: Overweight,7/10/2012
A,Maintains,Stifel: Buy,5/15/2012
A,Maintains,Morgan Stanley: Overweight,5/15/2012
A,Maintains,Stifel: Buy,4/19/2012
A,Initiated,Morgan Stanley: Overweight,3/6/2012
A,Maintains,Deutsche Bank: Buy,2/16/2012
AA,Upgrade,Argus Research: Hold to Buy,10/23/2024
AA,Maintains,Morgan Stanley: Overweight to Overweight,10/18/2024
AA,Maintains,JP Morgan: Neutral to Neutral,10/17/2024
AA,Maintains,BMO Capital: Market Perform to Market Perform,10/17/2024
AA,Upgrade,B. Riley Securities: Neutral to Buy,10/17/2024
AA,Maintains,UBS: Buy to Buy,10/15/2024
AA,Maintains,UBS: Buy to Buy,9/19/2024
AA,Maintains,B. Riley Securities: Neutral to Neutral,9/17/2024
AA,Upgrade,Wolfe Research: Peer Perform to Outperform,9/4/2024
AA,Upgrade,UBS: Sell to Buy,8/12/2024
AA,Upgrade,Wolfe Research: Underperform to Peer Perform,8/2/2024
AA,Maintains,B. Riley Securities: Neutral to Neutral,7/30/2024
AA,Maintains,Morgan Stanley: Overweight to Overweight,7/22/2024
AA,Maintains,B of A Securities: Neutral to Neutral,7/18/2024
AA,Maintains,B. Riley Securities: Neutral to Neutral,7/18/2024
AA,Maintains,Jefferies: Buy to Buy,7/9/2024
AA,Maintains,B. Riley Securities: Neutral to Neutral,7/2/2024
AA,Maintains,B of A Securities: Neutral to Neutral,6/26/2024
AA,Upgrade,Morgan Stanley: Equal-Weight to Overweight,6/21/2024
AA,Maintains,Citigroup: Buy to Buy,5/21/2024
AA,Upgrade,Morgan Stanley: Underweight to Equal-Weight,4/22/2024
AA,Maintains,UBS: Sell to Sell,4/19/2024
AA,Maintains,B. Riley Securities: Neutral to Neutral,4/18/2024
AA,Maintains,Jefferies: Buy to Buy,4/18/2024
AA,Maintains,BMO Capital: Market Perform to Market Perform,4/18/2024
AA,Maintains,Jefferies: Buy to Buy,4/12/2024
AA,Maintains,B of A Securities: Neutral to Neutral,3/18/2024
AA,Maintains,JP Morgan: Neutral to Neutral,1/18/2024
AA,Maintains,UBS: Sell to Sell,1/18/2024
AA,Maintains,BMO Capital: Market Perform to Market Perform,1/18/2024
AA,Initiated,UBS: Sell,1/16/2024
AA,Maintains,B of A Securities: Neutral to Neutral,12/21/2023
AA,Maintains,Jefferies: Buy to Buy,12/15/2023
AA,Maintains,JP Morgan: Neutral to Neutral,12/14/2023
AA,Maintains,B. Riley Securities: Neutral to Neutral,12/12/2023
AA,Maintains,Morgan Stanley: Underweight to Underweight,12/7/2023
AA,Initiated,HSBC: Hold,12/7/2023
AA,Maintains,Morgan Stanley: Underweight to Underweight,10/24/2023
AA,Downgrade,B of A Securities: Buy to Neutral,10/23/2023
AA,Maintains,Citigroup: Buy to Buy,10/20/2023
AA,Maintains,B. Riley Securities: Neutral to Neutral,10/20/2023
AA,Maintains,JP Morgan: Neutral to Neutral,10/19/2023
AA,Maintains,BMO Capital: Market Perform to Market Perform,10/19/2023
AA,Maintains,Jefferies: Buy to Buy,10/4/2023
AA,Maintains,Morgan Stanley: Underweight to Underweight,9/21/2023
AA,Maintains,JP Morgan: Neutral to Neutral,9/15/2023
AA,Maintains,Morgan Stanley: Underweight to Underweight,7/25/2023
AA,Downgrade,Argus Research: Buy to Hold,7/24/2023
AA,Maintains,Citigroup: Buy to Buy,7/21/2023
AA,Maintains,B. Riley Securities: Neutral to Neutral,7/21/2023
AA,Maintains,BMO Capital: Market Perform to Market Perform,7/20/2023
AA,Maintains,Credit Suisse: Outperform to Outperform,7/20/2023
AA,Downgrade,JP Morgan: Overweight to Neutral,7/14/2023
AA,Reiterates,Morgan Stanley: Underweight to Underweight,7/12/2023
AA,Downgrade,Wolfe Research: Peer Perform to Underperform,7/11/2023
AA,Maintains,Goldman Sachs: Buy to Buy,7/10/2023
AA,Maintains,Credit Suisse: Outperform to Outperform,6/22/2023
AA,Downgrade,Morgan Stanley: Equal-Weight to Underweight,6/22/2023
AA,Reiterates,B. Riley Securities: Neutral to Neutral,6/21/2023
AA,Maintains,UBS: Neutral to Neutral,6/15/2023
AA,Reiterates,B. Riley Securities: Neutral to Neutral,6/14/2023
AA,Upgrade,Credit Suisse: Neutral to Outperform,5/11/2023
AA,Initiated,JP Morgan: Overweight,5/8/2023
AA,Maintains,Morgan Stanley: Equal-Weight,4/25/2023
AA,Maintains,B. Riley Securities: Neutral,4/21/2023
AA,Maintains,BMO Capital: Market Perform,4/20/2023
AA,Maintains,Morgan Stanley: Equal-Weight,3/30/2023
AA,Upgrade,Citigroup: Neutral to Buy,2/22/2023
AA,Maintains,UBS: Neutral,2/1/2023
AA,Maintains,Morgan Stanley: Equal-Weight,1/20/2023
AA,Maintains,Citigroup: Neutral,1/19/2023
AA,Maintains,B. Riley Securities: Neutral,1/19/2023
AA,Maintains,BMO Capital: Market Perform,1/19/2023
AA,Downgrade,Morgan Stanley: Overweight to Equal-Weight,12/9/2022
AA,Maintains,Morgan Stanley: Overweight,10/24/2022
AA,Maintains,B. Riley Securities: Neutral,10/21/2022
AA,Maintains,Credit Suisse: Neutral,10/20/2022
AA,Maintains,BMO Capital: Market Perform,10/20/2022
AA,Maintains,Goldman Sachs: Buy,10/13/2022
AA,Initiated,UBS: Neutral,10/7/2022
AA,Downgrade,Wolfe Research: Outperform to Peer Perform,9/22/2022
AA,Maintains,Credit Suisse: Neutral,9/21/2022
AA,Upgrade,Morgan Stanley: Equal-Weight to Overweight,9/16/2022
AA,Maintains,Morgan Stanley: Equal-Weight,7/25/2022
AA,Maintains,BMO Capital: Market Perform,7/21/2022
AA,Maintains,Credit Suisse: Neutral,7/19/2022
AA,Maintains,Goldman Sachs: Buy,7/14/2022
AA,Maintains,B. Riley Securities: Neutral,6/28/2022
AA,Maintains,Morgan Stanley: Equal-Weight,6/23/2022
AA,Maintains,Morgan Stanley: Equal-Weight,4/25/2022
AA,Downgrade,Citigroup: Buy to Neutral,4/22/2022
AA,Maintains,B. Riley Securities: Neutral,4/21/2022
AA,Maintains,B. Riley Securities: Neutral,4/13/2022
AA,Downgrade,Credit Suisse: Outperform to Neutral,4/8/2022
AA,Downgrade,Morgan Stanley: Overweight to Equal-Weight,3/24/2022
AA,Maintains,Argus Research: Buy,3/21/2022
AA,Maintains,Citigroup: Buy,3/17/2022
AA,Maintains,Deutsche Bank: Hold,3/10/2022
AA,Maintains,Jefferies: Buy,3/9/2022
AA,Maintains,JP Morgan: Overweight,3/7/2022
AA,Maintains,Goldman Sachs: Buy,2/16/2022
AA,Maintains,Jefferies: Buy,2/15/2022
AA,Maintains,Morgan Stanley: Overweight,2/14/2022
AA,Maintains,Morgan Stanley: Overweight,1/24/2022
AA,Maintains,BMO Capital: Market Perform,1/20/2022
AA,Maintains,B. Riley Securities: Neutral,1/20/2022
AA,Maintains,Credit Suisse: Outperform,1/19/2022
AA,Downgrade,Deutsche Bank: Buy to Hold,1/11/2022
AA,Initiated,Wolfe Research: Outperform,11/17/2021
AA,Maintains,Morgan Stanley: Overweight,11/3/2021
AA,Upgrade,Jefferies: Hold to Buy,11/2/2021
AA,Maintains,Morgan Stanley: Overweight,9/29/2021
AA,Upgrade,Argus Research: Hold to Buy,9/15/2021
AA,Maintains,Credit Suisse: Outperform,9/14/2021
AA,Maintains,Morgan Stanley: Overweight,7/20/2021
AA,Maintains,Goldman Sachs: Buy,7/19/2021
AA,Upgrade,Citigroup: Neutral to Buy,7/16/2021
AA,Maintains,Morgan Stanley: Overweight,6/23/2021
AA,Upgrade,Morgan Stanley: Equal-Weight to Overweight,3/24/2021
AA,Upgrade,Deutsche Bank: Hold to Buy,3/17/2021
AA,Upgrade,Goldman Sachs: Sell to Buy,3/3/2021
AA,Maintains,Morgan Stanley: Equal-Weight,1/22/2021
AA,Maintains,Morgan Stanley: Equal-Weight,12/10/2020
AA,Maintains,Morgan Stanley: Equal-Weight,11/3/2020
AA,Maintains,BMO Capital: Market Perform,10/15/2020
AA,Maintains,Morgan Stanley: Equal-Weight,9/24/2020
AA,Maintains,Credit Suisse: Outperform,9/16/2020
AA,Upgrade,B of A Securities: Neutral to Buy,9/8/2020
AA,Maintains,Morgan Stanley: Equal-Weight,7/20/2020
AA,Maintains,Morgan Stanley: Equal-Weight,6/23/2020
AA,Maintains,Citigroup: Neutral,6/16/2020
AA,Downgrade,Deutsche Bank: Buy to Hold,6/16/2020
AA,Maintains,Morgan Stanley: Equal-Weight,5/26/2020
AA,Maintains,JP Morgan: Overweight,4/23/2020
AA,Maintains,Credit Suisse: Outperform,4/23/2020
AA,Maintains,B. Riley Securities: Neutral,4/23/2020
AA,Maintains,JP Morgan: Overweight,4/17/2020
AA,Maintains,Citigroup: Neutral,4/7/2020
AA,Maintains,Morgan Stanley: Equal-Weight,3/25/2020
AA,Downgrade,B. Riley Securities: Buy to Neutral,3/24/2020
AA,Maintains,Deutsche Bank: Buy,3/20/2020
AA,Upgrade,Deutsche Bank: Hold to Buy,1/17/2020
AA,Maintains,B of A Securities: Underperform,1/16/2020
AA,Maintains,B. Riley Securities: Buy,12/20/2019
AA,Downgrade,BMO Capital: Outperform to Market Perform,12/17/2019
AA,Maintains,Morgan Stanley: Equal-Weight,12/12/2019
AA,Downgrade,B of A Securities: Neutral to Underperform,11/13/2019
AA,Downgrade,Gabelli & Co.: Buy to Hold,10/21/2019
AA,Maintains,B. Riley Securities: Buy,10/17/2019
AA,Maintains,JP Morgan: Overweight,10/10/2019
AA,Downgrade,Goldman Sachs: Buy to Neutral,9/23/2019
AA,Upgrade,Credit Suisse: Neutral to Outperform,9/11/2019
AA,Downgrade,Argus Research: Buy to Hold,7/19/2019
AA,Downgrade,Jefferies: Buy to Hold,7/19/2019
AA,Downgrade,Macquarie: Outperform to Neutral,7/9/2019
AA,Maintains,Morgan Stanley: Overweight to Overweight,4/30/2019
AA,Upgrade,Gabelli & Co.: Hold to Buy,4/22/2019
AA,Downgrade,B of A Securities: Buy to Neutral,4/3/2019
AA,Downgrade,Credit Suisse: Outperform to Neutral,4/2/2019
AA,Maintains,Morgan Stanley: Overweight to Overweight,3/26/2019
AA,Upgrade,Goldman Sachs: Neutral to Buy,1/14/2019
AA,Maintains,Credit Suisse: Outperform to Outperform,12/7/2018
AA,Maintains,Citigroup: Neutral to Neutral,11/16/2018
AA,Maintains,Credit Suisse: Outperform to Outperform,9/25/2018
AA,Upgrade,B. Riley Securities: Neutral to Buy,9/12/2018
AA,Maintains,Deutsche Bank: Buy to Buy,7/24/2018
AA,Maintains,Morgan Stanley: Overweight to Overweight,7/23/2018
AA,Maintains,Credit Suisse: Outperform to Outperform,7/19/2018
AA,Maintains,BMO Capital: Outperform to Outperform,7/19/2018
AA,Initiated,B. Riley Securities: Neutral,6/21/2018
AA,Initiated,Jefferies: Buy,5/2/2018
AA,Maintains,Morgan Stanley: Overweight to Overweight,4/24/2018
AA,Downgrade,Citigroup: Buy to Neutral,4/24/2018
AA,Maintains,Argus Research: Buy to Buy,4/20/2018
AA,Maintains,B of A Securities: Buy to Buy,4/19/2018
AA,Maintains,Credit Suisse: Outperform to Outperform,4/19/2018
AA,Maintains,Citigroup: Buy to Buy,4/9/2018
AA,Initiated,Goldman Sachs: Neutral,3/20/2018
AA,Upgrade,Credit Suisse: Neutral to Outperform,12/20/2017
AA,Maintains,Citigroup: Buy,10/20/2017
